the_geom,cartodb_id,censustract,awater,aland,state,county,tractce,statefp,name,lsad,countyfp,affgeoid,lilatracts_1and10,geoid
0106000020E61000000100000001030000000100000016000000F8804067D2425AC0A205685BCDD44340B754A52DAE425AC0A76917D34CD54340D0E4620CAC425AC0AA798EC877D543400734D8D479425AC0D440F33977D543408C7747C66A425AC063CDC82077D54340828AAA5FE9415AC01430815B77D543408BB7955E9B415AC0390664AF77D5434043F12A6B9B415AC0E6A562635ED543400F96B1A19B415AC0714C16F71FD543409026DE019E415AC0783A579412D44340AA8E1CE90C425AC038D0436D1BD44340EB6305BF0D425AC03424EEB1F4D3434097D53BDC0E425AC09FF831E6AED34340218B34F10E425AC07EA1478C9ED3434083A0A3552D425AC0510ABABDA4D343406512F5824F425AC0FC8172DBBED3434086527B116D425AC009815CE2C8D343405C8429CAA5425AC0F0D3B837BFD343401D4E603AAD425AC0EAC4E57805D443407A4276DEC6425AC0B59F8CF161D4434052008C67D0425AC0646CE8667FD44340F8804067D2425AC0A205685BCDD44340,363,8031015700,0,2098280,CO,Denver,015700,08,157,CT,031,1400000US08031015700,1,8031015700
0106000020E6100000010000000103000000010000001300000026EFE3688E435AC0F527F1B913DE4340CFCE691668435AC0305A475513DE43407A478D0931435AC01F40868E1DDE434081700514EA425AC056CC086F0FDE4340FDB27BF2B0425AC0A065DD3F16DE4340E5AE25E483425AC0C301F4FBFEDD434013FF774485425AC0031555BFD2DD4340FC885FB186425AC078DE8D0585DD4340424FCAA486425AC0D08E1B7E37DD434090EC116A86425AC037BD8BF7E3DC4340046344A2D0425AC0FA8A355CE4DC434092F8DC09F6425AC04EE5B4A7E4DC4340B034F0A31A435AC0F922A12DE7DC43407C5A457F68435AC0E8B7AF03E7DC43407C5A457F68435AC0B24291EEE7DC4340E610381268435AC06D2F698CD6DD4340C12973F38D435AC0A961BF27D6DD4340802040868E435AC03E53AF5B04DE434026EFE3688E435AC0F527F1B913DE4340,382,8031000904,0,1241220,CO,Denver,000904,08,9.04,CT,031,1400000US08031000904,1,8031000904
0106000020E6100000010000000103000000010000002500000037F1D58EE23F5AC0C778944A78E24340902232ACE23F5AC0B3C70BE9F0E243400E441669E23F5AC0486760E465E34340061F4AB4E43F5AC027B682A625E44340F78381E7DE3F5AC0BF54336B29E44340BDD364C6DB3F5AC0597B9FAA42E54340BAAFCA85CA3F5AC06629594E42E54340D0AA9674943F5AC0C886359545E5434045E5266A693F5AC06B718DCF64E54340F6889812493F5AC06629594E42E54340FD21FDF6753E5AC055F2B1BB40E543400982C7B7773E5AC045CB811E6AE54340A314747B493E5AC0D2872EA86FE54340B57F65A5493E5AC0AFDEA815A6E543407839ECBE633E5AC001D19332A9E54340A2E6ABE4633E5AC06D2F698CD6E54340BDEFDFBC383E5AC0FCEF880AD5E54340E403029D493E5AC0A2DE5339EDE5434032D593F9473E5AC04554A86E2EE6434028C76471FF3D5AC0EBA012D731E643409A20EA3E003E5AC0D820938C9CE54340B6C83D5DDD3D5AC067AD68739CE543402B776682E13D5AC0701DE38A8BE54340F2AFE595EB3D5AC0409946938BE54340AB5791D1013E5AC03EFED2A23EE543405449641F643E5AC09685764EB3E44340F0EEC8586D3E5AC06355849B8CE443405A238271703E5AC04F4F1F813FE44340DD3EABCC943E5AC022111AC1C6E34340C4FCDCD0943E5AC0D40627A25FE343409BBAF2599E3E5AC03F321D3A3DE343408ED8EE1EA03E5AC01E2C634337E34340FBFB8C0B073F5AC015B9A7AB3BE2434024E5EE737C3F5AC070DBBE47FDE14340313ECC5EB63F5AC0961AA19FA9E1434012B35E0CE53F5AC058C16F438CE1434037F1D58EE23F5AC0C778944A78E24340,389,8031001500,3624,5357416,CO,Denver,001500,08,15,CT,031,1400000US08031001500,1,8031001500
0106000020E6100000010000000103000000010000000F000000DE9D7C7A6C3D5AC05125CADE52E243405CBF60376C3D5AC089A9F413CEE2434011F241CF663D5AC055276728EEE243402C3D9AEAC93C5AC078FD497CEEE2434009D462F0303C5AC0A3C4AEEDEDE2434068DC9BDF303C5AC08E8B6A1151E243402CAA4544313C5AC0990645F300E243404AC3F011313C5AC0186EC0E787E1434014A58460553C5AC0826BEEE87FE14340A3DC7D8E8F3C5AC0EFDAA50D87E14340CD001764CB3C5AC0660B08AD87E14340B660A92EE03C5AC0B96587F887E14340C7E4D4CE303D5AC0A00914B188E143404F11A7936C3D5AC0526CCCEB88E14340DE9D7C7A6C3D5AC05125CADE52E24340,424,8031003602,0,2008146,CO,Denver,003602,08,36.02,CT,031,1400000US08031003602,1,8031003602
0106000020E61000000100000001030000000100000015000000A2AB74779D415AC069300DC347DE43409D3C2CD49A415AC04B8BFA2477DE4340360F27309D415AC008E1D1C611DF4340C59BFC169D415AC0E2F8A1D288DF434062EAAEEC82415AC0E670ADF6B0DF43408311FB0450415AC0D9C2F352B1DF4340C9BDC0AC50415AC08D0244C18CDF43409B4D470037415AC0F920CB8289DF4340D0CC936B0A415AC0629AE95E27DF4340389CF9D51C415AC044990D32C9DE4340E47805A227415AC031E4D87A86DE4340814C327216415AC02D6D382C0DDE434034C98FF815415AC0B04D2A1A6BDD4340AA8BDB6800415AC06F5F07CE19DD4340AF14C95702415AC05D97E13FDDDC4340BB1C76DF31415AC06D15C440D7DC434008BFD4CF9B415AC0ECEF6C8FDEDC434043D7851F9C415AC09AA4F9635ADD43401353E9279C415AC00484D6C397DD434084C613419C415AC0222E008DD2DD4340A2AB74779D415AC069300DC347DE4340,441,8031000800,0,1655331,CO,Denver,000800,08,8,CT,031,1400000US08031000800,1,8031000800
0106000020E6100000010000000103000000010000000C000000C320B07268435AC0879E94490DDB43405271E316F3425AC0B29943520BDB43407C9065C1C4425AC0DB60A8C30ADB4340F32F49658A425AC0D5A3703D0ADB43409AFEEC478A425AC0D571FC5069DA4340D26C1E87C1425AC08A2AC3B81BDA43408858C4B0C3425AC0DA183BE125DA43404AA94BC631435AC0141747E526DA43403B6BB75D68435AC0622992AF04DA43400BE71A6668435AC0F0EF332E1CDA43402229E96168435AC08A87F71C58DA4340C320B07268435AC0879E94490DDB4340,450,8031004504,0,899286,CO,Denver,004504,08,45.04,CT,031,1400000US08031004504,1,8031004504
0106000020E6100000010000000103000000010000002D000000D12F116F9D325AC08BDAFD2AC0EB43400ECEA78E55325AC036807EDFBFEB4340741BD47E6B315AC02C060FD3BEEB4340D20B3ECDC9305AC025158DB5BFEB43405DDBDB2DC9305AC0C42E51BD35EC4340F634272F32305AC042847F1134EC4340428EAD6708305AC095766A2E37EC4340298A5759DB2E5AC058272EC72BEC4340E05817B7D12E5AC0B4696CAF05F34340DDFB1BB4572E5AC008F8359204F34340A946AF06282D5AC039E466B801F343409E1A2FDD242D5AC0BA40498105F44340D9C01DA8532C5AC0400C74ED0BF443405412D907592C5AC091C7D3F203F54340A0EF6E65892B5AC0A8BBB20B06F5434017541B9C882B5AC00ACB9F6F0BF44340B9D573D2FB285AC0ACA580B4FFF34340B413252191285AC00E7EE200FAF34340606BB6F292285AC08553E6E61BF34340BA641C23D9265AC0704C16F71FF34340EB17EC866D265AC0E28BF67821F343404B6E14596B265AC06C4F90D8EEF04340BC4BA94BC6265AC09D077767EDF04340814D9D47C5265AC04EAE2990D9EF434012EE9579AB275AC079A9D898D7EF43400526378AAC275AC0AD65321CCFE943400BE36E10AD275AC09345611745E9434053DFF94509285AC0BCA4315A47E94340F507CA6DFB285AC0021DAD6A49E94340C3CA68E4F3295AC074F86BB246E94340FA3F87F9F2295AC0E5AF90B932E84340A4423C122F2A5AC0AF6EBC3B32E84340752E8CF4A22A5AC0E6E3DA5031E84340EC444948A42A5AC0BBC1172653E94340144CFC51D42D5AC04A6BD3D85EE9434002C93B8732305AC0E38409A359E94340958BF84ECC305AC08AA19C6857E943407B45B75ED3305AC0DE3312A111E8434017028063CF305AC00241800C1DE74340B691B245D2305AC01A65FD6662E64340EE6E6589CE305AC00886730D33E64340DFEB6B5D6A315AC009BABDA431E643403DA9F6E978325AC0BC1C76DF31E6434078E40F069E325AC0E87FB9162DE64340D12F116F9D325AC08BDAFD2AC0EB4340,473,8031980000,56784,110225590,CO,Denver,980000,08,9800,CT,031,1400000US08031980000,1,8031980000
0106000020E61000000100000001030000000100000011000000396F63B323395AC0B4BA9C1210DB43404500378B17395AC0C0E3DBBB06DB43401FEA3E00A9385AC0CC52B29C84DA4340E8060ABC93385AC06A2920ED7FDA4340B99D7DE541385AC07BB779E3A4DA434049B3791C06385AC031755776C1DA4340D282177D05385AC0BE61A2410ADA43406CA301BC05385AC0ADB6627FD9D94340BA40498105385AC00D2E1D739ED943408EDD054A0A385AC0FBC22B499ED943403F4CC2853C385AC0CEDA6D179AD943407E61F9F36D385AC067723106D6D94340165C7347FF385AC01F57EA5910DA43405C83BEF4F6385AC0AC4D637B2DDA4340A193A5D6FB385AC039C9569753DA4340446458C51B395AC0B7AF03E78CDA4340396F63B323395AC0B4BA9C1210DB4340,611,8031007089,0,989779,CO,Denver,007089,08,70.89,CT,031,1400000US08031007089,1,8031007089
0106000020E61000000100000001030000000100000015000000C4FCDCD0943E5AC0D40627A25FE34340DD3EABCC943E5AC022111AC1C6E343405A238271703E5AC04F4F1F813FE44340F0EEC8586D3E5AC06355849B8CE443405449641F643E5AC09685764EB3E44340AB5791D1013E5AC03EFED2A23EE543404BD9E907753D5AC0BA1FB75F3EE5434062027E8D243D5AC0654B5645B8E543409F185932C73C5AC035C7B94DB8E5434010AB3FC2303C5AC0362F4E7CB5E54340519ACDE3303C5AC05D0A0F9A5DE543405606D506273C5AC085AA984A3FE543404C2B85402E3C5AC07416BD5301E5434044EC1340313C5AC0C1BD326FD5E3434009D462F0303C5AC0A3C4AEEDEDE243402C3D9AEAC93C5AC078FD497CEEE2434011F241CF663D5AC055276728EEE243407EBDC282FB3D5AC02B6002B7EEE2434078DFF8DA333E5AC0EB0DBE3099E243409BBAF2599E3E5AC03F321D3A3DE34340C4FCDCD0943E5AC0D40627A25FE34340,673,8031003500,0,6744357,CO,Denver,003500,08,35,CT,031,1400000US08031003500,1,8031003500
0106000020E6100000010000000103000000010000000F000000E3B9BE0F073B5AC09A3A8F8AFFE14340781D71C8063B5AC0F273435376E24340DEFC8689063B5AC0DFB19FC552E44340627C98BD6C3A5AC00E02F22554E44340EF80B229573A5AC02D1B9DF353E44340643733FAD1395AC07C71A94A5BE44340EF6261889C395AC061F4DC4257E443405317F032C3395AC0A02B11A8FEE343404AA7751BD4395AC035DE1D19ABE34340A526C11BD2395AC0D5389B8E00E2434094BBCFF1D1395AC0FF114DA088E14340D036FE44653A5AC0ADB7CD5488E14340BBC799266C3A5AC0C5DFF60489E143404899D4D0063B5AC089ADA06989E14340E3B9BE0F073B5AC09A3A8F8AFFE14340,720,8031004102,0,3961526,CO,Denver,004102,08,41.02,CT,031,1400000US08031004102,1,8031004102
